KO_ID	KO_function	TARA_155_DCM	TARA_155_MES	TARA_155_SRF	TARA_158_DCM	TARA_158_MES	TARA_158_SRF	TARA_163_MES	TARA_163_SRF	TARA_168_DCM	TARA_168_SRF	TARA_173_DCM	TARA_173_SRF	TARA_175_SRF	TARA_178_SRF	TARA_180_DCM	TARA_180_SRF	TARA_188_DCM	TARA_188_SRF	TARA_189_DCM	TARA_189_MES	TARA_189_SRF	TARA_191_SRF	TARA_193_SRF	TARA_194_DCM	TARA_194_SRF	TARA_196_SRF	TARA_205_MES	TARA_205_SRF	TARA_210_MES	TARA_210_SRF
K00001	alcohol dehydrogenase [EC:1.1.1.1]	71.7136	107.0205	24.8976	97.9309	65.1829	34.9193	167.0029	199.6144	514.7765	110.2479	379.0787	354.1796	281.8044	165.7563	112.1468	367.2404	330.2458	491.2227	210.0609	172.2602	175.6534	137.6432	86.5493	183.0979	76.1132	268.9101	154.3913	288.7011	234.03140000000002	143.4279
K00002	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	7.3973	0.0	5.9043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00003	homoserine dehydrogenase [EC:1.1.1.3]	4860.3171	2699.6376	3423.3683	1480.5865000000001	1640.3179	4923.5409	3372.0133	6694.9531	2969.1834	3340.9126	5433.5874	6834.3622	5070.9989	4050.8871	3436.9326	5151.8956	3515.2992	5342.6559	3750.6322999999998	2494.3973	4356.7921	1913.9195	3110.205	5288.7371	4352.5418	4144.6309	2879.8221	6074.5123	3618.5572	4714.0764
K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	8.4886	14.678	8.9963	0.0	8.6507	29.8338	11.810500000000001	0.0	0.0	8.0833	0.0	0.0	0.0	0.0	6.3145	1423.6586	8.6299	0.0	0.0	70.41159999999999	121.1335	52.8958	33.3745	0.0	37.3816	0.0	18.538899999999998	8.2373	47.8023	0.0
K00005	glycerol dehydrogenase [EC:1.1.1.6]	140.3972	9.0	103.6012	13.3822	0.0	167.4621	18.729	37.6022	22.220399999999998	22.2284	248.4427	216.6567	150.60369999999998	132.0	83.0491	0.0	332.8452	471.75469999999996	137.2224	12.4986	197.5863	32.809	57.9488	466.70489999999995	183.1461	157.42770000000002	77.2123	241.7603	30.8931	23.3965
K00006	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	5.7897	0.0	2.8841	80.5395	0.0	0.0	0.0	16.6475	0.0	0.0	30.2744	29.4769	0.0	9.9426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	43.1234	7.1773	43.0908	0.0	12.6916	8.5443	39.4829	426.0886	26.943	0.0	354.0537	197.3044	149.7911	164.6241	271.6587	140.9615	67.313	214.0511	77.7882	10.2414	152.7152	66.1772	94.4732	218.8424	113.5042	0.0	80.2252	232.86540000000002	10.1312	24.7275
K00008	L-iditol 2-dehydrogenase [EC:1.1.1.14]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.7323	0.0	0.0	0.0	0.0	0.0
K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	550.8571	228.56570000000002	779.4689999999999	132.7827	40.5929	119.5377	33.5441	10.892	21.133499999999998	128.0591	0.0	7.8452	158.3605	22.0	0.0	1611.3290000000002	4.6891	0.0	22.627000000000002	37.2257	296.6662	198.476	344.4384	17.3867	181.4884	65.7188	84.97479999999999	403.558	83.386	88.1456
K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	1641.414	911.3575999999999	1141.8564	1092.1235	614.5756	2388.4245	1516.0636	2821.809	3098.9657	4455.0355	2899.7019	2633.1192	3761.1651	2580.1747	2329.8097	1610.1577	1518.4013	2949.9034	2624.951	1135.026	3198.0462	1327.831	2377.746	3755.8914999999997	2995.3536	2254.6917	2329.5950000000003	3572.7022	1185.6542	2425.8188
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	1468.0909	1832.7857	2096.9944	1719.9677	1578.0982	1925.5837999999999	2464.5218	1944.1006	3543.1234	2988.2234	1294.2687	1733.3815	2760.1587	1626.0836	2687.8368	4055.5718	1808.343	2536.0973	1045.8901	1594.5415	1626.3781	1484.166	2178.3884	2191.0926	2533.7068	1658.5301	1896.5292	3306.3263	2180.9316	1461.9403
K00013	histidinol dehydrogenase [EC:1.1.1.23]	2735.5063	1561.0337	2740.5027999999998	1213.4316000000001	1412.6249	4050.3661	2518.449	5027.5595	2777.159	2384.752	4165.0607	4599.7986	4272.2339	3822.5594	4018.3767	5561.7027	3153.7159	4444.9757	2811.6704	1612.1743	3912.4518	2058.0715	3573.9466	4849.2483	4310.8144	3164.4961	2942.1638	7958.7762	2069.2759	2488.0364
K00014	shikimate dehydrogenase [EC:1.1.1.25]	2697.3494	2508.4592000000002	1892.0292	951.1729	1189.5762	2868.5838	3776.1072	3895.6677999999997	1897.1611	1576.6162	4008.0233000000003	4336.925200000001	3889.0584	3609.5198	3854.8973	3460.7324	2836.7925	3415.7108	2297.0660000000003	2038.8732	2665.483	1506.5295	2558.0911	4904.9962	3722.3833	2789.5702	2303.4744	4438.8009	2735.1115	2808.1050999999998
K00015	glyoxylate reductase [EC:1.1.1.26]	354.8807	127.9096	302.4953	5.6626	153.3761	132.608	149.2771	192.9777	134.4693	56.761	132.11419999999998	184.5464	105.0911	353.82910000000004	142.3219	208.8477	165.5629	261.2612	37.4954	151.7266	30.7565	102.8985	143.9846	142.8044	151.7739	165.158	199.9043	300.4099	310.0166	95.4163
K00016	L-lactate dehydrogenase [EC:1.1.1.27]	45.3094	0.0	47.6374	0.0	5.1565	5.8892	8.2183	11.4115	11.0523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.183799999999998	0.0	35.2484	40.88290000000001	0.0	6.2156	46.6267	22.6358	0.0	33.2384	13.6223
K00018	glycerate dehydrogenase [EC:1.1.1.29]	504.9464	449.2935	563.1349	284.2389	223.1861	1880.6931	722.8502	3769.8827	1309.6027	314.2141	2922.4519	3274.7579	2965.7404	1937.8489	2790.1122	1069.4669000000001	1361.2402	1989.1960000000001	1263.6687	434.0493	1409.8822	516.61	690.3494000000001	2688.0012	1086.7953	1100.0364	811.82	1147.7304	689.7682	220.3222
K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	1404.9441	1044.8496	1041.4467	167.0905	841.087	1209.9838	755.9683	651.3183	611.2979	578.2104	859.2287	1195.4528	1452.2674	706.4957	1000.4216	1040.7014	647.5739	1117.2287000000001	385.4871	1135.7411	709.5802	256.9695	1081.667	1126.2859	777.6622	732.4445	381.6746	938.3456	646.6454	606.7887000000001
K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	1220.6402	1097.6945	1352.8228	672.9818	1176.1217000000001	1506.7982	1122.7487	4002.4743	1874.4080999999999	1056.3353	2917.5788000000002	3664.1173	3161.2296	3574.0212	2954.3404	1977.3958	2363.878	3208.3242	1881.8896	1366.0673	2260.3224	709.613	2814.7093999999997	2779.6013	2631.1617	1514.7593	1533.9302	4014.2062	987.7154	1117.355
K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	339.80060000000003	294.1977	368.5883	530.8427	271.7183	1495.4517999999998	367.4616	3175.3235999999997	639.8859	1225.9112	2238.5784	2508.5637	2476.3964	2427.0021	1804.357	1334.6139	1002.3468	1460.927	1101.3638	335.8011	1252.229	816.7719999999999	1171.8292000000001	2351.915	2076.0992	714.5657	804.9968	2341.2779	124.40639999999999	305.0023
K00022	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	0.0	0.0	0.0	38.033100000000005	0.0	0.0	0.0	0.0	0.0	0.0	4.7031	5.8825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.4289	12.4663	0.0	0.0	0.0	0.0
K00023	acetoacetyl-CoA reductase [EC:1.1.1.36]	774.4685000000001	105.1164	508.876	90.6708	143.753	397.4352	405.5854	267.39930000000004	467.26840000000004	314.16740000000004	333.7471	630.7438	443.69870000000003	587.0225	463.9829	769.2602	366.4033	296.0512	141.2725	122.3401	312.6076	260.8853	296.4087	345.2289	528.1903	526.3619	116.56309999999999	261.3197	222.311	1092.6444
K00024	malate dehydrogenase [EC:1.1.1.37]	3317.0707	2298.4757	2794.6603	2819.1113	1964.6689000000001	3227.6467000000002	2838.5743	5043.7843	2641.0392	1954.702	2881.2355000000002	3917.1403	3820.1656000000003	3495.5528	3247.3916	4728.9127	2249.1283	3578.2155	1758.5287	2339.9672	3181.4179	1881.075	2706.1873	4193.7239	3400.1444	2649.8593	2513.1516	4523.6652	2929.0433	2756.1454
K00025	malate dehydrogenase [EC:1.1.1.37]	51.503	0.0	96.4172	0.0	0.0	46.3313	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.1354	0.0	0.0	28.0	0.0	0.0	0.0	10.9172
K00026	malate dehydrogenase [EC:1.1.1.37]	438.7921	0.0	1016.367	0.0	0.0	35.7272	0.0	39.8503	43.0693	0.0	11.0694	125.2171	48.4805	287.1375	0.0	81.509	473.0395	554.0805	455.2625	0.0	204.696	0.0	217.9943	138.0343	168.7966	224.7483	0.0	31.9383	0.0	78.4091
K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	33.732699999999994	501.0706	40.5399	0.0	462.1188	0.0	445.8684	8.8214	19.6514	0.0	65.057	4.9746	7.2394	0.0	6.4739	47.701499999999996	39.7917	32.1235	0.0	514.0052000000001	0.0	9.3854	0.0	44.2994	0.0	35.7606	402.9443	19.7655	256.2315	32.4236
K00028	malate dehydrogenase (decarboxylating) [EC:1.1.1.39]	149.2602	0.0	400.7815	0.0	0.0	42.9872	0.0	0.0	12.3183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.7371	0.0	0.0	78.2691	0.0	0.0	0.0	40.6128
K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	2323.5565	584.0392	3812.0481999999997	2248.7972	676.357	4571.3355	1732.4365	3352.1913	3153.8318	2842.1747	3919.3207	5468.2459	4871.7655	5263.4665	4422.9229	3809.2307	2826.5217000000002	4000.5388	3190.6537	797.4677	4447.9156	1913.9507	3603.1303	4443.7625	4020.4418	3020.6831	1839.9947	5824.1736	725.799	2167.3767
