accession	SRA_id	sample_name	sampling_station	latitude	longitude	marine_region	local_scale_env_context	biome	sampling_date	depth_meters	temperature_celsius	chlorophyll_sensor	nitrate_sensor	oxygen_sensor	salinity_sensor	lower_size_fraction_um	upper_size_fraction_um	sample_material_label	depth_indicator	run_accession
SAMEA4396424	ERS1307873	TARA_B110000003	TARA_155	54.5305	-16.9377	[NAO] North Atlantic Ocean (MRGID:1912)	[SRF] surface water layer (ENVO:00010504)	Westerlies Biome	24-May-2013	5	11.09541	0.76242	4.348292	270.945625	35.325105	0.22	3	TARA_155_SRF_0.22-3	SRF	ERR3589591
SAMEA4396468	ERS1307917	TARA_B110000014	TARA_155	54.5742	-16.8345	[NAO] North Atlantic Ocean (MRGID:1912)	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	Westerlies Biome	24-May-2013	751	8.923581	-0.00195	13.716288	208.76175	35.40565	0.22	3	TARA_155_MES_0.22-3	MES	ERR3589584
SAMEA4396496	ERS1307945	TARA_B110000008	TARA_155	54.5451	-16.7943	[NAO] North Atlantic Ocean (MRGID:1912)	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	Westerlies Biome	25-May-2013	40	10.79018	1.21266	6.951238	266.369875	35.33502	0.22	3	TARA_155_DCM_0.22-3	DCM	ERR3589583
SAMEA4396538	ERS1307987	TARA_B110001450	TARA_158	67.141	0.2355	[AO] Arctic Ocean (MRGID:1906)	[SRF] surface water layer (ENVO:00010504)	Polar Biome	03-Jun-2013	5	8.48667	2.013825	5.21995	311.9179	35.14372	0.22	3	TARA_158_SRF_0.22-3	SRF	ERR3589592
SAMEA4396971	ERS1308420	TARA_B110001452	TARA_158	67.161	0.3964	[AO] Arctic Ocean (MRGID:1906)	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	Polar Biome	03-Jun-2013	25	6.7255	1.1376	7.947163	304.26005	35.149405	0.22	3	TARA_158_DCM_0.22-3	DCM	ERR3589564
SAMEA4397004	ERS1308453	TARA_B110001454	TARA_158	67.1675	0.2177	[AO] Arctic Ocean (MRGID:1906)	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	Polar Biome	04-Jun-2013	651	0.22498	0	14.950381	295.31095	34.90349	0.22	3	TARA_158_MES_0.22-3	MES	ERR3589585
SAMEA4397034	ERS1308483	TARA_B110001469	TARA_163	76.1825	1.3918	[AO] Arctic Ocean (MRGID:1906)	[SRF] surface water layer (ENVO:00010504)	Polar Biome	09-Jun-2013	5	1.901825	8.71005	4.72754	363.047375	34.888288	0.22	3	TARA_163_SRF_0.22-3	SRF	ERR3589586
SAMEA4397072	ERS1308521	TARA_B110000196	TARA_163	76.1246	1.3648	[AO] Arctic Ocean (MRGID:1906)	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	Polar Biome	10-Jun-2013	499	0.099535	-0.01098	13.010683	315.37205	34.94578	0.22	3	TARA_163_MES_0.22-3	MES	ERR3589593
SAMEA4397101	ERS1308550	TARA_B110000027	TARA_168	72.5128	44.0775	[AO] Arctic Ocean (MRGID:1906)	[SRF] surface water layer (ENVO:00010504)	Polar Biome	01-Jul-2013	5	7.53177	0.2442	-4.721995	298.8549	34.92306	0.22	3	TARA_168_SRF_0.22-3	SRF	ERR3589588
SAMEA4397157	ERS1308606	TARA_B110000046	TARA_168	72.5432	44.102	[AO] Arctic Ocean (MRGID:1906)	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	Polar Biome	01-Jul-2013	40	3.824545	2.344913	-3.888729	326.5136	34.976035	0.22	3	TARA_168_DCM_0.22-3	DCM	ERR3589565
